sample	category
DTB-097-PRO	AXIN1
DTB-098-PRO2	PIK3R1
DTB-098-PRO2	ATM
DTB-100-BL	ETV1
DTB-100-BL	KMT2C
DTB-100-BL	ERG
DTB-100-BL	ZNRF3
DTB-101-BL	PTEN
DTB-101-BL	RAD51B
DTB-101-BL	AR
DTB-102-PRO	DHX30
DTB-102-PRO	PDS5A
DTB-102-PRO	PTEN
DTB-102-PRO	RAD51B
DTB-102-PRO	MGA
DTB-102-PRO	AXIN1
DTB-102-PRO	ERG
DTB-102-PRO	TTC28
DTB-102-PRO	KDM6A
DTB-102-PRO	AR
DTB-104-BL	KMT2C
DTB-104-BL	ERG
DTB-104-BL	TMPRSS2
DTB-104-BL	SMARCA1
DTB-111-PRO	JAK1
DTB-111-PRO	ERG
DTB-111-PRO	KDM6A
DTB-112-BL	PTEN
DTB-112-BL	STAB2
DTB-119-PRO	ASXL2
DTB-119-PRO	XPO1
DTB-119-PRO	LSAMP
DTB-119-PRO	ETV1
DTB-119-PRO	PTPRD
DTB-119-PRO	PTEN
DTB-121-BL	ERG
DTB-124-BL	LSAMP
DTB-124-BL	USP28
DTB-124-BL	RAD51B
DTB-124-BL	NCOR1
DTB-124-BL	AR
DTB-126-BL	LSAMP
DTB-126-BL	PTPRD
DTB-126-BL	RAD51B
DTB-127-PRO	PTPRD
DTB-128-BL	PTPRD
DTB-129-BL	CUL3
DTB-129-BL	ERG
DTB-129-BL	TMPRSS2
DTB-132-BL	PTEN
DTB-132-BL	ERG
DTB-135-PRO	KMT2C
DTB-135-PRO	PTPRD
DTB-135-PRO	WASF3
DTB-135-PRO	ETV4
DTB-137-PRO	ATR
DTB-137-PRO	ZFHX3
DTB-138-BL	PDS5A
DTB-138-BL	MGA
DTB-138-BL	ETV4
DTB-138-BL	ZNRF3
DTB-140-BL	ELK4
DTB-140-BL	MAP3K1
DTB-140-BL	KMT2C
DTB-140-BL	PTPRD
DTB-140-BL	PTEN
DTB-140-BL	ETV4
DTB-141-BL	PIK3R1
DTB-141-BL	MAP3K1
DTB-141-BL	RAD51B
DTB-141-BL	TP53
DTB-141-BL	ERG
DTB-141-BL	AR
DTB-143-BL	CUL3
DTB-143-BL	DHX30
DTB-143-BL	ETV5
DTB-146-BL	ZFHX3
DTB-149-BL	PMS1
DTB-149-BL	LSAMP
DTB-149-BL	ERG
DTB-149-BL	MIRLET7BHG
DTB-151-BL	MTOR
DTB-151-BL	ELK4
DTB-151-BL	LSAMP
DTB-151-BL	TCF12
DTB-156-BL	LSAMP
DTB-156-BL	ZBTB16
DTB-156-BL	ERG
DTB-156-BL	KDM6A
DTB-156-BL	AR
DTB-159-BL	ELK4
DTB-159-BL	ARID2
DTB-159-BL	ERG
DTB-165-PRO	MTOR
DTB-165-PRO	LSAMP
DTB-165-PRO	ERG
DTB-167-PRO	ELK4
DTB-167-PRO	CUL3
DTB-167-PRO	LSAMP
DTB-167-PRO	IGF2R
DTB-167-PRO	PTPRD
DTB-167-PRO	RAD51B
DTB-167-PRO	TTC28
DTB-170-BL	LSAMP
DTB-172-BL	LSAMP
DTB-172-BL	PTEN
DTB-172-BL	FANCA
DTB-172-BL	ERG
DTB-172-BL	KDM6A
DTB-175-BL	ASXL2
DTB-175-BL	MSH2
