Sample	AR	Enhancer	logR.AR	logR.Enhancer	purity	ploidy	ploidy.X	AR.CCF	Enhancer.CCF	AR.norm	Enhancer.norm	FC	call
01115525-TA1	3.5	3.5	0.988905	0.91415	0.699	3.253	3	0.652096161248184	0.445932928321652	2.15185982170304	2.15185982170304	0	Coamplification
01115503-TC2	3.55	5.5	1.328415	1.9946	0.694	2.226	1	0.461390176226963	0.751544766707113	3.1895777178796	4.94159928122192	0.631612594019978	Coamplification
01115468-TA3	1.05	1	0.018055	-0.29155	0.6849	2.073	1	0	0	1.01302460202605	0.964785335262904	-0.0703893278913979	No amplification
01115531-TA4	1.05	3.5	0.01949	1.2606	0.6013	2.087	1	0	0.425783357136542	1.00622903689506	3.35409678965022	1.73696559416621	Selective Enhancer
06115118-T	25.5	16	3.615635	2.9777	0.5722	2.754	1	0.295903275768161	0	18.5185185185185	11.6194625998548	-0.672425341971496	Coamplification
01115154-TA1	57.25	48	4.438435	4.19235	0.5512	3.696	2	0	0	30.9794372294372	25.974025974026	-0.254241287375788	Coamplification
01115156-TA1	1.7	3.5	-0.033585	0.8425	0.5475	3.29	2	0.588129980075308	0.605269292443395	1.03343465045593	2.12765957446809	1.04182017569463	Selective Enhancer
01115257-TA4	44.9	47.5	3.93856	4.0231	0.515	4.049	2	0.539471356835064	0.284244609833037	22.1783156334898	23.4625833539146	0.0812120684771634	Coamplification
06115115-T	15.4	15	2.403455	2.37205	0.5137	4.291	3	0.412996255604644	0	7.17781402936378	6.99137730132836	-0.0379678501990205	Coamplification
01115244-TA3	1	3	-0.13726	0.93555	0.5016	2.16	1	0	0	0.925925925925926	2.77777777777778	1.58496250072116	Selective Enhancer
01115284-TA9	3.95	5	1.186	1.5481	0.4776	2.228	1	0.929412634637111	0.362512883477749	3.54578096947935	4.48833034111311	0.340075441597622	Coamplification
01115249-TC5	54.9	51.5	4.11553	4.02845	0.4545	4.008	2	0.34162571486144	0	27.3952095808383	25.6986027944112	-0.0922337169346179	Coamplification
01115655-TC1	94.7	74	5.03447	4.6848	0.449	3.381	1	0.395940692989506	0	56.0189293108548	43.7740313516711	-0.355839154952073	Coamplification
06115117-T	3.85	8	0.732765	1.56935	0.4475	3.584	1	0.795091864549916	0	2.1484375	4.46428571428571	1.05514155419246	Coamplification
01115549-TA4	1.1	1	0.113635	-0.0831	0.4416	1.877	1	0.119037189743137	0	1.1720831113479	1.06553010122536	-0.137503523749935	No amplification
01115157-TA3	7.2	7	1.581145	1.53035	0.4393	3.085	2	0.157850271453586	0	4.6677471636953	4.53808752025932	-0.0406419844973461	Coamplification
01115248-TA3	6.35	8.5	1.63689	1.9688	0.4383	2.325	1	0.319299797942932	0.285475381076388	5.46236559139785	7.31182795698925	0.420706249365536	Coamplification
01115444-TA5	12.6	11	2.498155	2.36385	0.4274	2.176	1	0.37602650398353	0.156814419855912	11.5808823529412	10.1102941176471	-0.195920209975257	Coamplification
01115414-TA1	6.2	7	1.498335	1.613	0.4149	2.44	1	0	0	5.08196721311475	5.73770491803279	0.175086706558091	Coamplification
01115578-TC4	3.95	3	0.687975	0.4325	0.4148	3.859	3	0.970492562970027	0	2.04716247732573	1.55480694480435	-0.396890152568584	Coamplification
01115589-TC2	1.75	2	0.277925	0.38185	0.4106	2.336	2	0.721104586523307	0	1.49828767123288	1.71232876712329	0.192645077942396	No amplification
01115606-TA2	149.1	46.5	5.174565	3.66645	0.3398	3.768	1	0	0.648491418709369	79.140127388535	24.6815286624204	-1.68097763628805	Coamplification
01115157-TC3	16.25	15	2.311385	2.22085	0.3318	3.298	2	0.167103435346378	0	9.85445724681625	9.09642207398423	-0.115477217419936	Coamplification
01115644-TA1	2.6	1	0.32025	-0.16045	0.3037	3.21	2	0.573766937813851	0.194748827162584	1.61993769470405	0.623052959501558	-1.37851162325373	Selective AR
01115263-TA3	1.15	1	0.13942	0.0194	0.269	1.734	1	0.23068846683722	0	1.32641291810842	1.15340253748558	-0.20163386116965	No amplification
01115669-TA3	3.2	3	0.372835	0.32895	0.2422	3.582	3	0.241829549912375	0	1.78671133445003	1.6750418760469	-0.0931094043914815	Coamplification
01115156-TC5	2.1	5	0.16081	0.7823	0.2318	2.925	2	0	0	1.43589743589744	3.41880341880342	1.25153876699596	Selective Enhancer
01115655-TA1	48.45	42.5	3.349705	3.1775	0.2261	3.305	1	0.317039766006242	0.495540678004297	29.3192133131619	25.7186081694402	-0.189033824390017	Coamplification
01115554-TA2	3.95	3.5	0.69972	0.6151	0.2068	1.971	1	0.994773900881538	0.54870073565475	4.00811770674784	3.55149670218163	-0.174497731232137	Coamplification
01115581-TA3	2.1	3.5	0.222555	0.54215	0.1725	2.072	1	0	0.696716373094044	2.02702702702703	3.37837837837838	0.736965594166206	Coamplification
01115577-TC1	3.8	6	0.3872	0.7358	0.167	3.357	2	0.730807017238855	0.11387613767168	2.26392612451594	3.57462019660411	0.658963082164933	Coamplification
01115574-TC3	4.9	5.5	0.55632	0.60005	0.1625	3.349	3	0.887328846917937	0.196349937652069	2.9262466407883	3.28456255598686	0.166649869409451	Coamplification
